Monday,15 January 1900,8:07:30 pm,
Wednesday,14 February 1900,2:50:12 pm,
Friday,16 March 1900,9:11:48 am,
Sunday,15 April 1900,2:02:06 am,
Monday,14 May 1900,4:36:36 pm,
Wednesday,13 June 1900,4:38:36 am,[/]
Thursday,12 July 1900,2:21:54 pm,
Friday,10 August 1900,10:29:54 pm,
Sunday,9 September 1900,6:06:06 am,
Monday,8 October 1900,2:18:06 pm,
Tuesday,6 November 1900,11:59:36 pm,
Thursday,6 December 1900,11:38:06 am,[/]
Saturday,5 January 1901,1:13:24 am,
Sunday,3 February 1901,4:29:42 pm,
Tuesday,5 March 1901,9:04:06 am,
Thursday,4 April 1901,2:20:06 am,
Friday,3 May 1901,7:18:42 pm,[/]
Sunday,2 June 1901,10:52:42 am,
Tuesday,2 July 1901,12:17:36 am,
Wednesday,31 July 1901,11:33:42 am,[+]
Thursday,29 August 1901,9:20:48 pm,
Saturday,28 September 1901,6:35:42 am,
Sunday,27 October 1901,4:06:12 pm,[*]
Tuesday,26 November 1901,2:17:30 am,
Wednesday,25 December 1901,1:15:48 pm,
Friday,24 January 1902,1:06:06 am,
Saturday,22 February 1902,2:03:18 pm,
Monday,24 March 1902,4:21:12 am,
Tuesday,22 April 1902,7:49:30 pm,[**]
Thursday,22 May 1902,11:46:00 am,
Saturday,21 June 1902,3:16:42 am,
Sunday,20 July 1902,5:45:00 pm,
Tuesday,19 August 1902,7:03:18 am,
Wednesday,17 September 1902,7:23:24 pm,
Friday,17 October 1902,7:01:06 am,[**]
Saturday,15 November 1902,6:06:24 pm,
Monday,15 December 1902,4:47:24 am,
Tuesday,13 January 1903,3:17:12 pm,
Thursday,12 February 1903,1:57:42 am,
Friday,13 March 1903,1:12:48 pm,
Sunday,12 April 1903,1:18:18 am,[*]
Monday,11 May 1903,2:17:54 pm,
Wednesday,10 June 1903,4:07:54 am,
Thursday,9 July 1903,6:43:06 pm,
Saturday,8 August 1903,9:54:12 am,
Monday,7 September 1903,1:19:48 am,
Tuesday,6 October 1903,4:23:30 pm,[*]
Thursday,5 November 1903,6:27:24 am,
